,DATETIME,PRESSURE_T1,PRESSURE_T2,PRESSURE_T3,PRESSURE_T4,PRESSURE_T5,PRESSURE_T6,PRESSURE_T7,PRESSURE_J280,PRESSURE_J269,PRESSURE_J300,PRESSURE_J256,PRESSURE_J289,PRESSURE_J415,PRESSURE_J302,PRESSURE_J306,PRESSURE_J307,PRESSURE_J317,PRESSURE_J14,PRESSURE_J422,FLOW_PU1,FLOW_PU2,FLOW_PU3,FLOW_PU4,FLOW_PU5,FLOW_PU6,FLOW_PU7,FLOW_PU8,FLOW_PU9,FLOW_PU10,FLOW_PU11,FLOW_V2,STATUS_PU1,STATUS_PU2,STATUS_PU3,STATUS_PU4,STATUS_PU5,STATUS_PU6,STATUS_PU7,STATUS_PU8,STATUS_PU9,STATUS_PU10,STATUS_PU11,STATUS_V2,ATT_FLAG
15230,3807.5,1.1302,3.4381,5.1368,3.7635,4.5,5.2584,2.7209,2.9747,34.2779,27.8168,90.9246,27.8795,85.4567,22.381,101.8817,22.2659,68.0163,30.7429,29.8429,97.5694,97.5887,0.0,34.406,0.0,0.0,49.8782,22.2003,0.0,31.2839,0.0,78.6895,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
15231,3807.75,1.1334,3.4233,5.2616,3.7859,4.5,5.3102,2.7722,2.9747,34.278,27.8048,90.9971,27.8672,85.4702,22.3859,101.8866,22.2709,68.0609,30.7306,29.8306,97.5691,97.5884,0.0,34.3556,0.0,0.0,49.8649,22.2003,0.0,31.2722,0.0,78.8039,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
17665,4416.25,2.7743,3.2446,4.2212,2.5943,4.5,5.3209,1.8956,2.9751,34.7266,27.661,90.8685,27.7226,84.2494,23.6674,103.4851,23.5508,68.5186,30.6485,29.7485,96.7351,96.7542,0.0,34.3465,0.0,0.0,50.4137,21.8885,0.0,31.5123,0.0,87.9937,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
17666,4416.5,2.7472,3.2532,4.352,2.5982,4.5,5.3819,2.015,2.9751,34.7147,27.6693,90.9516,27.7306,84.2543,23.6505,103.4681,23.534,68.5992,30.6547,29.7547,96.7572,96.7763,0.0,34.3019,0.0,0.0,50.4152,21.8885,0.0,31.484,0.0,87.7854,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
2439,609.75,3.5117,3.7312,3.0889,3.0002,4.5,5.5,3.9343,2.9768,36.653,26.7536,66.6041,26.7132,84.3135,24.5492,100.7167,24.434,70.1216,40.015,28.1278,93.1239,93.1419,0.0,0.0,0.0,0.0,49.8663,25.2236,0.0,31.3023,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2440,610.0,3.5594,3.5989,2.9589,3.0003,4.5,5.5,3.9608,2.9774,37.3285,23.3806,85.6417,23.4482,83.883,25.4816,102.6161,25.3694,72.5753,40.7605,25.1528,91.8456,91.8633,0.0,34.9058,0.0,0.0,48.373,24.3891,0.0,30.8526,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
11001,2750.25,3.8155,5.2681,4.7998,3.1964,4.5,5.5,3.629,2.9759,35.5663,29.6231,89.3606,29.6965,86.7976,24.3041,100.6937,24.1912,71.0233,32.6037,31.7037,95.1671,95.1857,0.0,36.348,0.0,0.0,50.122,25.034,0.0,30.9642,0.0,82.0455,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
11002,2750.5,3.7953,5.2564,4.9129,3.2982,4.5,5.5,3.7185,2.9759,35.5555,29.6129,89.43,29.686,86.8679,24.2905,100.6799,24.1777,71.0889,32.5919,31.6919,95.1873,95.2058,0.0,36.3035,0.0,0.0,50.0808,25.034,0.0,30.9406,0.0,81.9967,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
4733,1183.25,3.8119,5.112,4.3509,4.0888,4.5,5.2114,3.4823,2.9788,38.9385,28.2158,71.2921,28.1771,87.9129,33.2429,116.4042,33.2429,56.9421,43.0419,29.5825,88.7731,88.7898,0.0,0.0,0.0,0.0,48.748,18.1311,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4734,1183.5,3.9282,4.9827,4.2492,4.225,4.5,5.1143,3.045,2.9788,38.9987,28.0934,71.1904,28.0549,87.9726,33.347,116.5083,33.347,56.5883,43.1375,29.4594,88.6575,88.6742,0.0,0.0,0.0,0.0,48.6508,18.1311,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9746,2436.5,1.3417,3.9019,3.6886,3.1445,4.5,5.5,3.1951,2.9899,22.191,28.9778,88.3008,29.0932,62.0877,22.4204,105.3425,22.312,71.4154,31.4154,30.5154,119.2334,0.0,0.0,36.5787,0.0,0.0,0.0,18.4977,0.0,30.2773,0.0,55.398,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
9747,2436.75,1.2752,3.9514,3.8017,2.762,4.5,5.5,3.3327,2.9898,21.9754,27.8179,87.9652,27.8899,84.9586,22.2088,105.1305,22.101,71.4663,30.6821,29.7821,119.606,0.0,0.0,36.1183,0.0,0.0,50.1386,18.4977,0.0,30.1967,0.0,60.9051,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
7322,1830.5,1.9445,4.7093,4.4501,3.7782,4.5,4.9779,2.5563,2.9758,35.5214,32.1952,73.1936,32.1952,65.4197,24.1909,106.1983,24.0737,68.754,34.4317,33.5317,95.251,95.2696,0.0,0.0,0.0,0.0,0.0,19.5713,0.0,31.5957,0.0,59.4816,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
7323,1830.75,1.9811,4.8672,4.3663,3.4664,4.5,5.0434,2.6608,2.9759,35.5579,32.3077,73.1098,32.3077,65.1079,24.2403,106.2477,24.1231,68.8389,34.5415,33.6415,95.1827,95.2013,0.0,0.0,0.0,0.0,0.0,19.5713,0.0,31.5854,0.0,58.8932,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
16387,4096.75,1.7607,4.6046,4.7547,3.5402,4.5,5.2621,2.8407,2.99,22.5816,29.4462,71.8761,29.4054,86.4251,22.5984,105.1645,22.4838,68.4545,31.851,30.951,118.5572,0.0,0.0,0.0,0.0,0.0,50.1635,18.9258,0.0,31.2191,0.0,55.4284,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
16388,4097.0,1.6942,4.6186,4.6546,3.6126,4.5,5.3206,2.9175,2.99,22.7756,29.4644,73.2902,29.4228,85.3745,22.3331,103.1758,22.2167,67.3059,31.8787,30.9787,118.221,0.0,0.0,0.0,0.0,0.0,50.7031,20.8404,0.0,31.477,0.0,56.7383,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
5271,1317.75,2.6994,2.8407,3.0314,3.7048,4.5,5.5,3.0282,2.9751,34.6961,27.2433,87.5669,27.3151,84.8421,22.8616,98.2294,22.7489,69.661,30.2674,29.3674,96.792,96.811,0.0,36.0189,0.0,0.0,49.904,25.8881,0.0,30.9403,0.0,90.2728,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5272,1318.0,2.6693,2.8522,3.1448,3.6919,4.5,5.5,3.0842,2.975,34.5461,27.2673,88.5236,27.3366,85.6749,23.5469,103.3801,23.4328,69.6909,30.2712,29.3712,97.071,97.0901,0.0,35.4879,0.0,0.0,49.4844,21.8716,0.0,31.1344,0.0,89.2104,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
6615,1653.75,1.5775,5.4996,3.0661,4.3394,4.5,5.5,3.9849,2.9747,34.1992,30.4115,70.6397,30.3702,86.6093,22.1601,99.2186,22.0482,69.391,32.8446,31.9446,97.7154,97.7348,0.0,0.0,0.0,0.0,50.5587,24.4558,0.0,30.8116,0.0,61.1089,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6616,1654.0,1.6334,5.3422,3.0357,4.3643,4.5,5.5,3.9872,2.9763,36.093,25.1126,87.8083,25.1783,84.9297,22.9181,96.2089,22.8096,71.8139,38.8653,26.8845,94.1786,94.1969,0.0,34.6501,0.0,0.0,48.7397,27.5295,0.0,30.3077,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
3104,776.0,1.9869,4.4372,3.9913,3.8325,4.5,5.4675,3.871,2.9752,34.8061,29.7036,72.0658,29.6633,87.2155,23.8369,106.3515,23.7203,68.7434,32.1951,31.2951,96.5871,96.6061,0.0,0.0,0.0,0.0,49.891,18.9874,0.0,31.4963,0.0,73.5525,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
3105,776.25,1.9946,4.4998,3.9005,3.9308,4.5,5.5,3.9248,2.9752,34.8191,29.7567,71.975,29.7164,87.3011,23.9887,106.5007,23.8768,71.2284,32.2465,31.3465,96.5628,96.5817,0.0,0.0,0.0,0.0,49.8743,18.9874,0.0,30.809,0.0,73.2615,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
8526,2131.5,1.2689,4.5914,3.9413,3.3651,4.5,4.9847,2.3658,2.9746,34.0817,29.597,71.5955,29.5548,84.5821,22.6703,104.385,22.5518,66.5899,32.0597,31.1597,97.9332,97.9526,0.0,0.0,0.0,0.0,51.1628,19.8999,0.0,31.7807,0.0,66.3709,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
8527,2131.75,1.2664,4.6318,3.8463,3.3085,4.5,5.0089,2.3067,2.9746,34.0844,29.6296,71.5005,29.5873,84.5459,22.6679,104.3827,22.5494,66.5678,32.0911,31.1911,97.9284,97.9478,0.0,0.0,0.0,0.0,51.1967,19.8999,0.0,31.7864,0.0,66.0902,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
12654,3163.5,4.4913,3.5576,3.6904,3.5434,4.5,5.1938,1.9921,2.9909,26.252,26.5963,68.5109,26.5563,84.5886,25.5266,105.882,25.402,66.327,38.7457,27.9691,112.1349,0.0,0.0,0.0,0.0,0.0,49.6434,21.3508,0.0,32.657,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
12655,3163.75,4.4828,3.4258,3.5705,3.5334,4.5,5.1939,1.8838,2.9909,26.245,26.4679,68.391,26.428,84.5494,25.5164,105.8718,25.3917,66.2871,38.7375,27.8404,112.1473,0.0,0.0,0.0,0.0,0.0,49.5972,21.3508,0.0,32.6652,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
14338,3584.5,4.0352,4.1334,3.937,4.4067,4.5,5.5,4.32,2.9765,36.2831,30.0319,72.0225,29.9914,87.2959,26.2457,108.9389,26.1335,73.3356,32.6099,31.7099,93.8211,93.8393,0.0,0.0,0.0,0.0,50.0181,18.7741,0.0,30.8538,0.0,88.0123,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
14339,3584.75,4.0442,4.2342,3.8463,4.4825,4.5,5.5,4.477,2.9765,36.2959,30.1091,71.9318,30.0685,87.372,26.2648,108.9578,26.1528,73.458,32.6842,31.7842,93.7969,93.8151,0.0,0.0,0.0,0.0,50.0186,18.7741,0.0,30.8229,0.0,87.5618,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
16745,4186.25,4.1908,5.2533,2.9289,3.6322,4.5,5.5,4.5896,2.9758,35.4983,29.5902,88.4782,29.6654,85.5852,24.4041,100.7819,24.2908,70.9427,32.5892,31.6892,95.2944,95.313,0.0,36.819,0.0,0.0,50.719,25.0442,0.0,31.0177,0.0,82.7063,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
16746,4186.5,4.1582,5.2405,3.0487,3.6444,4.5,5.5,4.6308,2.9758,35.4816,29.5778,88.5503,29.6527,85.5912,24.3782,100.7559,24.265,70.9693,32.5752,31.6752,95.3257,95.3443,0.0,36.7725,0.0,0.0,50.7097,25.0442,0.0,31.0022,0.0,82.5961,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
13678,3419.5,0.9495,3.486,3.416,4.4856,4.5,5.4199,2.1703,2.9743,33.7961,27.7935,88.8347,27.864,86.7525,22.4796,104.8211,22.3614,66.5736,30.7105,29.8105,98.4623,98.4819,0.0,35.6113,0.0,0.0,49.1966,19.1898,0.0,31.7307,0.0,74.9007,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
13679,3419.75,0.9425,3.4935,3.5373,4.4276,4.5,5.4353,2.111,2.9744,33.8911,29.0725,89.383,29.1847,64.734,22.5068,104.8484,22.3886,66.5548,31.5638,30.6638,98.2864,98.3059,0.0,36.0264,0.0,0.0,0.0,19.1898,0.0,31.7439,0.0,68.1033,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1474,368.5,1.8604,5.2362,3.9336,3.2976,4.5,5.5,4.5903,2.9752,34.7764,30.287,71.755,30.2449,85.549,24.0246,105.8352,23.923,76.3021,32.7568,31.8568,96.6424,96.6614,0.0,0.0,0.0,0.0,51.0258,19.7826,0.0,29.2461,0.0,67.9758,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1475,368.75,1.8806,5.283,3.8402,3.3176,4.5,5.4846,4.726,2.9754,35.031,30.41,71.6616,30.3679,85.5951,28.7359,110.489,28.7359,60.5332,32.8944,31.9944,96.1677,96.1866,0.0,0.0,0.0,0.0,51.0639,19.7826,0.0,0.0,0.0,70.713,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
13409,3352.25,3.0375,0.7758,5.1087,3.0479,4.5,5.5,4.6559,2.99,22.6417,26.4782,73.8847,26.4379,83.973,22.0297,100.3778,21.919,69.8769,29.0303,28.1303,118.4532,0.0,0.0,0.0,0.0,0.0,49.8998,23.2944,0.0,30.6264,0.0,83.9965,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
13410,3352.5,2.9365,0.8662,5.0253,3.0199,4.5,5.5,4.6475,2.99,22.5962,26.527,73.8013,26.4866,83.9635,21.9727,100.3208,21.8621,69.8586,29.0742,28.1742,118.5321,0.0,0.0,0.0,0.0,0.0,49.9297,23.2944,0.0,30.6147,0.0,83.1563,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
12728,3182.0,0.9319,3.5337,4.5823,3.5167,4.5,5.5,4.2499,2.9744,33.8769,27.8438,89.751,27.9107,85.8055,21.631,97.3337,21.527,72.7524,30.7583,29.8583,98.3127,98.3322,0.0,35.1119,0.0,0.0,49.7145,25.6075,0.0,29.6151,0.0,74.9158,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
12729,3182.25,0.9226,3.5074,4.7016,3.5733,4.5,5.5,4.4119,2.9744,33.87,27.8218,89.8181,27.8885,85.8408,21.6297,97.3323,21.5259,72.8723,30.7357,29.8357,98.3254,98.3449,0.0,35.0602,0.0,0.0,49.6847,25.6075,0.0,29.5767,0.0,75.0229,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
7293,1823.25,0.8389,2.1584,3.79,3.5301,4.5,5.5,4.5225,2.9743,33.7356,26.5619,88.5989,26.6287,85.079,21.541,98.0069,21.434,71.1944,29.5228,28.6228,98.5741,98.5937,0.0,35.0364,0.0,0.0,49.426,24.966,0.0,30.0745,0.0,83.6292,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
7294,1823.5,0.8225,2.1561,3.9068,3.5574,4.5,5.5,4.5993,2.9743,33.7276,26.5604,88.6722,26.6271,85.0988,21.5305,97.9963,21.4237,71.251,29.5199,28.6199,98.5889,98.6085,0.0,34.9928,0.0,0.0,49.4148,24.966,0.0,30.0537,0.0,83.5424,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
10392,2598.0,4.3326,3.0916,4.6932,4.4496,4.5,5.0692,2.9364,2.9767,36.528,29.477,75.3346,29.4376,88.1493,31.3831,115.7107,31.3831,58.8352,32.1003,31.2003,93.3597,93.3777,0.0,0.0,0.0,0.0,49.2893,16.6194,0.0,0.0,0.0,95.6331,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10393,2598.25,4.3675,3.2143,4.633,4.5714,4.5,4.993,2.6426,2.9771,36.9612,32.4234,75.2744,32.4234,66.7822,31.7812,116.1088,31.7812,58.5881,34.7615,33.8615,92.5415,92.5593,0.0,0.0,0.0,0.0,0.0,16.6194,0.0,0.0,0.0,79.045,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
18346,4586.5,0.9346,2.3164,4.9539,3.8893,4.5,5.5,4.6417,2.9748,34.3367,26.7849,91.3292,26.8454,87.6737,23.9448,109.1372,23.8399,74.6147,29.7281,28.8281,97.4601,97.4794,0.0,33.5387,0.0,0.0,48.1598,15.4754,0.0,29.7575,0.0,86.8296,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
18347,4586.75,0.9574,2.3321,5.0839,4.0346,4.5,5.4811,4.7082,2.975,34.6036,26.8382,91.4289,26.8985,87.7913,28.2792,113.4122,28.2792,59.5667,29.7997,28.8997,96.964,96.9831,0.0,33.5102,0.0,0.0,48.1247,15.4754,0.0,0.0,0.0,89.8327,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
16338,4084.5,4.083,1.917,5.0148,4.3915,4.5,5.431,3.6205,2.9769,36.7363,31.4722,76.6935,31.4722,69.4123,27.8182,115.2479,27.7021,72.9608,33.8306,32.9306,92.9664,92.9844,0.0,0.0,0.0,0.0,0.0,11.6312,0.0,31.4277,0.0,82.4901,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
16339,4084.75,4.1154,2.1356,4.9715,4.1956,4.5,5.5,3.9288,2.977,36.7896,31.6293,76.6503,31.6293,69.2164,28.1888,115.6119,28.0844,79.1298,33.9841,33.0841,92.8659,92.8838,0.0,0.0,0.0,0.0,0.0,11.6312,0.0,29.6721,0.0,81.8874,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2225,556.25,3.8585,2.0632,5.0661,3.674,4.5,5.3916,4.4222,2.9771,36.9078,31.7083,76.3463,31.7083,68.6496,31.8381,119.0971,31.8381,61.0989,34.072,33.172,92.6424,92.6603,0.0,0.0,0.0,0.0,0.0,11.8449,0.0,0.0,0.0,83.3653,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2226,556.5,3.9205,2.2845,5.0158,3.4761,4.5,5.3401,4.1966,2.9771,36.9602,31.8663,76.2959,31.8663,68.4517,31.9129,119.1718,31.9129,60.9147,34.2262,33.3262,92.5432,92.5611,0.0,0.0,0.0,0.0,0.0,11.8449,0.0,0.0,0.0,82.7499,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4185,1046.25,3.7845,5.163,4.6509,3.2459,4.5,4.9777,2.0161,2.9759,35.6262,29.5261,89.5815,29.598,86.1548,25.0396,105.8459,24.9208,68.8288,32.5138,31.6138,95.0547,95.0733,0.0,36.17,0.0,0.0,50.3985,20.88,0.0,31.818,0.0,83.2203,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4186,1046.5,3.7701,5.1541,4.767,3.3139,4.5,5.0452,2.1452,2.9759,35.6184,29.5186,89.6532,29.5902,86.2023,25.0318,105.838,24.9132,68.9183,32.505,31.605,95.0693,95.0879,0.0,36.1254,0.0,0.0,50.3705,20.88,0.0,31.7902,0.0,83.1881,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
4463,1115.75,1.8626,5.0784,3.7254,3.2729,4.5,5.3006,1.9769,2.9752,34.8267,29.2917,89.6719,29.3621,85.342,23.8032,106.5892,23.6854,68.0699,32.2211,31.3211,96.5486,96.5676,0.0,35.9869,0.0,0.0,50.6889,18.6674,0.0,31.6811,0.0,73.0746,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4464,1116.0,1.8742,5.0423,3.8492,3.2926,4.5,5.3542,2.0603,2.9756,35.2299,29.3747,90.8931,29.4436,88.3564,23.9298,105.368,23.8162,70.2807,32.2926,31.3926,95.7963,95.8151,0.0,35.3371,0.0,0.0,49.1838,20.2011,0.0,31.0733,0.0,75.8875,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
9084,2271.0,0.9487,3.3503,5.2475,3.6937,4.5,5.5,3.7039,2.9746,34.1388,27.6943,88.2732,27.7662,86.57,22.7527,104.4648,22.641,70.0862,30.6337,29.7337,97.8273,97.8467,0.0,35.8745,0.0,0.0,49.2411,19.8985,0.0,30.7809,0.0,78.0048,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
9085,2271.25,0.956,3.3723,5.2437,3.787,4.5,5.5,3.7518,2.9747,34.2093,28.6738,70.4852,28.634,86.8809,22.7923,104.5045,22.6807,70.1323,31.1659,30.2659,97.6967,97.716,0.0,0.0,0.0,0.0,49.5319,19.8985,0.0,30.7789,0.0,74.1043,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
